seq_no,control_flag,priority_no,modal,LT,Dpt_entity,Dpt_week,Dpt_step,Arv_entity,Arv_week,Arv_step
DELLEAF202302084,F,001202302084,B,2,DEL,5,40,DELLEAF,7,40
DELLEAF202302087,F,001202302087,B,2,DEL,5,41,DELLEAF,7,41
DELLEAF202302089,F,001202302089,B,2,DEL,5,42,DELLEAF,7,42
DELLEAF202302091,F,001202302091,B,2,DEL,5,43,DELLEAF,7,43
DELLEAF202302092,F,001202302092,B,2,DEL,5,44,DELLEAF,7,44
DELLEAF202302094,F,001202302094,B,2,DEL,5,45,DELLEAF,7,45
DELLEAF202302096,F,001202302096,B,2,DEL,5,46,DELLEAF,7,46
DELLEAF202302100,F,001202302100,B,2,DEL,5,47,DELLEAF,7,47
DELLEAF202302102,F,001202302102,B,2,DEL,5,48,DELLEAF,7,48
DELLEAF202302104,F,001202302104,B,2,DEL,5,49,DELLEAF,7,49
DELLEAF202302109,F,001202302109,B,2,DEL,5,50,DELLEAF,7,50
DELLEAF202302113,F,001202302113,B,2,DEL,5,51,DELLEAF,7,51
DELLEAF202302115,F,001202302115,B,2,DEL,5,52,DELLEAF,7,52
DELLEAF202302119,F,001202302119,B,2,DEL,5,53,DELLEAF,7,53
DELLEAF202302121,F,001202302121,B,2,DEL,5,54,DELLEAF,7,54
DELLEAF202302124,F,001202302124,B,2,DEL,5,55,DELLEAF,7,55
DELLEAF202302126,F,001202302126,B,2,DEL,5,56,DELLEAF,7,56
DELLEAF202302128,F,001202302128,B,2,DEL,5,57,DELLEAF,7,57
DELLEAF202302130,F,001202302130,B,2,DEL,5,58,DELLEAF,7,58
DELLEAF202302132,F,001202302132,B,2,DEL,5,59,DELLEAF,7,59
DELLEAF202302144,F,001202302144,B,2,DEL,5,60,DELLEAF,7,60
DELLEAF202302146,F,001202302146,B,2,DEL,5,61,DELLEAF,7,61
DELLEAF202302150,F,001202302150,B,2,DEL,5,62,DELLEAF,7,62
DELLEAF202302160,F,001202302160,B,2,DEL,5,63,DELLEAF,7,63
DELLEAF202302162,F,001202302162,B,2,DEL,5,64,DELLEAF,7,64
DELLEAF202302179,F,001202302179,B,2,DEL,5,65,DELLEAF,7,65
DELLEAF202302181,F,001202302181,B,2,DEL,5,66,DELLEAF,7,66
DELLEAF202302183,F,001202302183,B,2,DEL,5,67,DELLEAF,7,67
DELLEAF202302185,F,001202302185,B,2,DEL,5,68,DELLEAF,7,68
DELLEAF202302187,F,001202302187,B,2,DEL,5,69,DELLEAF,7,69
DELLEAF202302189,F,001202302189,B,2,DEL,5,70,DELLEAF,7,70
DELLEAF202302191,F,001202302191,B,2,DEL,5,71,DELLEAF,7,71
DELLEAF202302193,F,001202302193,B,2,DEL,5,72,DELLEAF,7,72
DELLEAF202302195,F,001202302195,B,2,DEL,5,73,DELLEAF,7,73
DELLEAF202302197,F,001202302197,B,2,DEL,5,74,DELLEAF,7,74
DELLEAF202302199,F,001202302199,B,2,DEL,5,75,DELLEAF,7,75
DELLEAF202302204,F,001202302204,B,2,DEL,5,76,DELLEAF,7,76
DELLEAF202302206,F,001202302206,B,2,DEL,5,77,DELLEAF,7,77
DELLEAF202302207,F,001202302207,B,2,DEL,5,78,DELLEAF,7,78
DELLEAF202302209,F,001202302209,B,2,DEL,5,79,DELLEAF,7,79
DELLEAF202302218,F,001202302218,B,2,DEL,5,80,DELLEAF,7,80
DELLEAF202302220,F,001202302220,B,2,DEL,5,81,DELLEAF,7,81
DELLEAF202302222,F,001202302222,B,2,DEL,5,82,DELLEAF,7,82
DELLEAF202302224,F,001202302224,B,2,DEL,5,83,DELLEAF,7,83
DELLEAF202302226,F,001202302226,B,2,DEL,5,84,DELLEAF,7,84
DELLEAF202302228,F,001202302228,B,2,DEL,5,85,DELLEAF,7,85
DELLEAF202302230,F,001202302230,B,2,DEL,5,86,DELLEAF,7,86
DELLEAF202302242,F,001202302242,B,2,DEL,5,87,DELLEAF,7,87
DELLEAF202302244,F,001202302244,B,2,DEL,5,88,DELLEAF,7,88
DELLEAF202302246,F,001202302246,B,2,DEL,5,89,DELLEAF,7,89
DELLEAF202302248,F,001202302248,B,2,DEL,5,90,DELLEAF,7,90
DELLEAF202302001,F,001202302001,B,2,DEL,6,0,DELLEAF,8,0
DELLEAF202302009,F,001202302009,B,2,DEL,6,1,DELLEAF,8,1
DELLEAF202302010,F,001202302010,B,2,DEL,6,2,DELLEAF,8,2
DELLEAF202302013,F,001202302013,B,2,DEL,6,3,DELLEAF,8,3
DELLEAF202302099,F,001202302099,B,2,DEL,6,4,DELLEAF,8,4
DELLEAF202302108,F,001202302108,B,2,DEL,6,5,DELLEAF,8,5
DELLEAF202302117,F,001202302117,B,2,DEL,6,6,DELLEAF,8,6
DELLEAF202302127,F,001202302127,B,2,DEL,6,7,DELLEAF,8,7
DELLEAF202302149,F,001202302149,B,2,DEL,6,8,DELLEAF,8,8
DELLEAF202302211,F,001202302211,B,2,DEL,6,9,DELLEAF,8,9
DELLEAF202302212,F,001202302212,B,2,DEL,6,10,DELLEAF,8,10
DELLEAF202303021,F,001202303021,B,2,DEL,7,0,DELLEAF,9,0
DELLEAF202303023,F,001202303023,B,2,DEL,7,1,DELLEAF,9,1
DELLEAF202303026,F,001202303026,B,2,DEL,7,2,DELLEAF,9,2
DELLEAF202303028,F,001202303028,B,2,DEL,7,3,DELLEAF,9,3
DELLEAF202303031,F,001202303031,B,2,DEL,7,4,DELLEAF,9,4
DELLEAF202303033,F,001202303033,B,2,DEL,7,5,DELLEAF,9,5
DELLEAF202303035,F,001202303035,B,2,DEL,7,6,DELLEAF,9,6
DELLEAF202303036,F,001202303036,B,2,DEL,7,7,DELLEAF,9,7
DELLEAF202303038,F,001202303038,B,2,DEL,7,8,DELLEAF,9,8
DELLEAF202303044,F,001202303044,B,2,DEL,7,9,DELLEAF,9,9
DELLEAF202303047,F,001202303047,B,2,DEL,7,10,DELLEAF,9,10
DELLEAF202303048,F,001202303048,B,2,DEL,7,11,DELLEAF,9,11
DELLEAF202303051,F,001202303051,B,2,DEL,7,12,DELLEAF,9,12
DELLEAF202303054,F,001202303054,B,2,DEL,7,13,DELLEAF,9,13
DELLEAF202303057,F,001202303057,B,2,DEL,7,14,DELLEAF,9,14
DELLEAF202303059,F,001202303059,B,2,DEL,7,15,DELLEAF,9,15
DELLEAF202303063,F,001202303063,B,2,DEL,7,16,DELLEAF,9,16
DELLEAF202303072,F,001202303072,B,2,DEL,7,17,DELLEAF,9,17
DELLEAF202303074,F,001202303074,B,2,DEL,7,18,DELLEAF,9,18
DELLEAF202303076,F,001202303076,B,2,DEL,7,19,DELLEAF,9,19
DELLEAF202303077,F,001202303077,B,2,DEL,7,20,DELLEAF,9,20
DELLEAF202303079,F,001202303079,B,2,DEL,7,21,DELLEAF,9,21
DELLEAF202303081,F,001202303081,B,2,DEL,7,22,DELLEAF,9,22
DELLEAF202303085,F,001202303085,B,2,DEL,7,23,DELLEAF,9,23
DELLEAF202303089,F,001202303089,B,2,DEL,7,24,DELLEAF,9,24
DELLEAF202303092,F,001202303092,B,2,DEL,7,25,DELLEAF,9,25
DELLEAF202303094,F,001202303094,B,2,DEL,7,26,DELLEAF,9,26
DELLEAF202303097,F,001202303097,B,2,DEL,7,27,DELLEAF,9,27
DELLEAF202303099,F,001202303099,B,2,DEL,7,28,DELLEAF,9,28
DELLEAF202303100,F,001202303100,B,2,DEL,7,29,DELLEAF,9,29
DELLEAF202303105,F,001202303105,B,2,DEL,7,30,DELLEAF,9,30
DELLEAF202303107,F,001202303107,B,2,DEL,7,31,DELLEAF,9,31
DELLEAF202303110,F,001202303110,B,2,DEL,7,32,DELLEAF,9,32
DELLEAF202303112,F,001202303112,B,2,DEL,7,33,DELLEAF,9,33
DELLEAF202303114,F,001202303114,B,2,DEL,7,34,DELLEAF,9,34
DELLEAF202303116,F,001202303116,B,2,DEL,7,35,DELLEAF,9,35
DELLEAF202303117,F,001202303117,B,2,DEL,7,36,DELLEAF,9,36
DELLEAF202303119,F,001202303119,B,2,DEL,7,37,DELLEAF,9,37
DELLEAF202303121,F,001202303121,B,2,DEL,7,38,DELLEAF,9,38
DELLEAF202303123,F,001202303123,B,2,DEL,7,39,DELLEAF,9,39
DELLEAF202303125,F,001202303125,B,2,DEL,7,40,DELLEAF,9,40
DELLEAF202303127,F,001202303127,B,2,DEL,7,41,DELLEAF,9,41
DELLEAF202303129,F,001202303129,B,2,DEL,7,42,DELLEAF,9,42
DELLEAF202303130,F,001202303130,B,2,DEL,7,43,DELLEAF,9,43
DELLEAF202303132,F,001202303132,B,2,DEL,7,44,DELLEAF,9,44
DELLEAF202303137,F,001202303137,B,2,DEL,7,45,DELLEAF,9,45
DELLEAF202303142,F,001202303142,B,2,DEL,7,46,DELLEAF,9,46
DELLEAF202303146,F,001202303146,B,2,DEL,7,47,DELLEAF,9,47
DELLEAF202303148,F,001202303148,B,2,DEL,7,48,DELLEAF,9,48
DELLEAF202303150,F,001202303150,B,2,DEL,7,49,DELLEAF,9,49
DELLEAF202303152,F,001202303152,B,2,DEL,7,50,DELLEAF,9,50
DELLEAF202303154,F,001202303154,B,2,DEL,7,51,DELLEAF,9,51
DELLEAF202303157,F,001202303157,B,2,DEL,7,52,DELLEAF,9,52
DELLEAF202303159,F,001202303159,B,2,DEL,7,53,DELLEAF,9,53
DELLEAF202303161,F,001202303161,B,2,DEL,7,54,DELLEAF,9,54
DELLEAF202303163,F,001202303163,B,2,DEL,7,55,DELLEAF,9,55
DELLEAF202303169,F,001202303169,B,2,DEL,7,56,DELLEAF,9,56
DELLEAF202303171,F,001202303171,B,2,DEL,7,57,DELLEAF,9,57
DELLEAF202303175,F,001202303175,B,2,DEL,7,58,DELLEAF,9,58
DELLEAF202303177,F,001202303177,B,2,DEL,7,59,DELLEAF,9,59
DELLEAF202303179,F,001202303179,B,2,DEL,7,60,DELLEAF,9,60
DELLEAF202303190,F,001202303190,B,2,DEL,7,61,DELLEAF,9,61
DELLEAF202303194,F,001202303194,B,2,DEL,7,62,DELLEAF,9,62
DELLEAF202303196,F,001202303196,B,2,DEL,7,63,DELLEAF,9,63
DELLEAF202303198,F,001202303198,B,2,DEL,7,64,DELLEAF,9,64
DELLEAF202303200,F,001202303200,B,2,DEL,7,65,DELLEAF,9,65
DELLEAF202303202,F,001202303202,B,2,DEL,7,66,DELLEAF,9,66
DELLEAF202303205,F,001202303205,B,2,DEL,7,67,DELLEAF,9,67
DELLEAF202303218,F,001202303218,B,2,DEL,7,68,DELLEAF,9,68
DELLEAF202303223,F,001202303223,B,2,DEL,7,69,DELLEAF,9,69
DELLEAF202303224,F,001202303224,B,2,DEL,7,70,DELLEAF,9,70
DELLEAF202303226,F,001202303226,B,2,DEL,7,71,DELLEAF,9,71
DELLEAF202303228,F,001202303228,B,2,DEL,7,72,DELLEAF,9,72
DELLEAF202303231,F,001202303231,B,2,DEL,7,73,DELLEAF,9,73
DELLEAF202303236,F,001202303236,B,2,DEL,7,74,DELLEAF,9,74
DELLEAF202303238,F,001202303238,B,2,DEL,7,75,DELLEAF,9,75
DELLEAF202303240,F,001202303240,B,2,DEL,7,76,DELLEAF,9,76
DELLEAF202303242,F,001202303242,B,2,DEL,7,77,DELLEAF,9,77
DELLEAF202303244,F,001202303244,B,2,DEL,7,78,DELLEAF,9,78
DELLEAF202303245,F,001202303245,B,2,DEL,7,79,DELLEAF,9,79
DELLEAF202303247,F,001202303247,B,2,DEL,7,80,DELLEAF,9,80
DELLEAF202303249,F,001202303249,B,2,DEL,7,81,DELLEAF,9,81
DELLEAF202303251,F,001202303251,B,2,DEL,7,82,DELLEAF,9,82
DELLEAF202303253,F,001202303253,B,2,DEL,7,83,DELLEAF,9,83
DELLEAF202303255,F,001202303255,B,2,DEL,7,84,DELLEAF,9,84
DELLEAF202303259,F,001202303259,B,2,DEL,7,85,DELLEAF,9,85
DELLEAF202303261,F,001202303261,B,2,DEL,7,86,DELLEAF,9,86
DELLEAF202303263,F,001202303263,B,2,DEL,7,87,DELLEAF,9,87
DELLEAF202303266,F,001202303266,B,2,DEL,7,88,DELLEAF,9,88
DELLEAF202303275,F,001202303275,B,2,DEL,7,89,DELLEAF,9,89
DELLEAF202303277,F,001202303277,B,2,DEL,7,90,DELLEAF,9,90
DELLEAF202303279,F,001202303279,B,2,DEL,7,91,DELLEAF,9,91
DELLEAF202303282,F,001202303282,B,2,DEL,7,92,DELLEAF,9,92
DELLEAF202303284,F,001202303284,B,2,DEL,7,93,DELLEAF,9,93
DELLEAF202303286,F,001202303286,B,2,DEL,7,94,DELLEAF,9,94
DELLEAF202303004,F,001202303004,B,2,DEL,8,0,DELLEAF,10,0
DELLEAF202303015,F,001202303015,B,2,DEL,8,1,DELLEAF,10,1
DELLEAF202303017,F,001202303017,B,2,DEL,8,2,DELLEAF,10,2
DELLEAF202303019,F,001202303019,B,2,DEL,8,3,DELLEAF,10,3
DELLEAF202303029,F,001202303029,B,2,DEL,8,4,DELLEAF,10,4
DELLEAF202303039,F,001202303039,B,2,DEL,8,5,DELLEAF,10,5
DELLEAF202303042,F,001202303042,B,2,DEL,8,6,DELLEAF,10,6
DELLEAF202303045,F,001202303045,B,2,DEL,8,7,DELLEAF,10,7
DELLEAF202303049,F,001202303049,B,2,DEL,8,8,DELLEAF,10,8
DELLEAF202303052,F,001202303052,B,2,DEL,8,9,DELLEAF,10,9
DELLEAF202303055,F,001202303055,B,2,DEL,8,10,DELLEAF,10,10
DELLEAF202303060,F,001202303060,B,2,DEL,8,11,DELLEAF,10,11
DELLEAF202303061,F,001202303061,B,2,DEL,8,12,DELLEAF,10,12
DELLEAF202303064,F,001202303064,B,2,DEL,8,13,DELLEAF,10,13
DELLEAF202303065,F,001202303065,B,2,DEL,8,14,DELLEAF,10,14
DELLEAF202303066,F,001202303066,B,2,DEL,8,15,DELLEAF,10,15
DELLEAF202303067,F,001202303067,B,2,DEL,8,16,DELLEAF,10,16
DELLEAF202303068,F,001202303068,B,2,DEL,8,17,DELLEAF,10,17
DELLEAF202303084,F,001202303084,B,2,DEL,8,18,DELLEAF,10,18
DELLEAF202303102,F,001202303102,B,2,DEL,8,19,DELLEAF,10,19
DELLEAF202303103,F,001202303103,B,2,DEL,8,20,DELLEAF,10,20
DELLEAF202303104,F,001202303104,B,2,DEL,8,21,DELLEAF,10,21
DELLEAF202303108,F,001202303108,B,2,DEL,8,22,DELLEAF,10,22
DELLEAF202303109,F,001202303109,B,2,DEL,8,23,DELLEAF,10,23
DELLEAF202303115,F,001202303115,B,2,DEL,8,24,DELLEAF,10,24
DELLEAF202303134,F,001202303134,B,2,DEL,8,25,DELLEAF,10,25
DELLEAF202303136,F,001202303136,B,2,DEL,8,26,DELLEAF,10,26
DELLEAF202303138,F,001202303138,B,2,DEL,8,27,DELLEAF,10,27
DELLEAF202303139,F,001202303139,B,2,DEL,8,28,DELLEAF,10,28
DELLEAF202303140,F,001202303140,B,2,DEL,8,29,DELLEAF,10,29
DELLEAF202303141,F,001202303141,B,2,DEL,8,30,DELLEAF,10,30
DELLEAF202303143,F,001202303143,B,2,DEL,8,31,DELLEAF,10,31
DELLEAF202303144,F,001202303144,B,2,DEL,8,32,DELLEAF,10,32
DELLEAF202303145,F,001202303145,B,2,DEL,8,33,DELLEAF,10,33
DELLEAF202303156,F,001202303156,B,2,DEL,8,34,DELLEAF,10,34
DELLEAF202303164,F,001202303164,B,2,DEL,8,35,DELLEAF,10,35
DELLEAF202303165,F,001202303165,B,2,DEL,8,36,DELLEAF,10,36
DELLEAF202303166,F,001202303166,B,2,DEL,8,37,DELLEAF,10,37
DELLEAF202303167,F,001202303167,B,2,DEL,8,38,DELLEAF,10,38
DELLEAF202303168,F,001202303168,B,2,DEL,8,39,DELLEAF,10,39
DELLEAF202303176,F,001202303176,B,2,DEL,8,40,DELLEAF,10,40
DELLEAF202303182,F,001202303182,B,2,DEL,8,41,DELLEAF,10,41
DELLEAF202303183,F,001202303183,B,2,DEL,8,42,DELLEAF,10,42
DELLEAF202303184,F,001202303184,B,2,DEL,8,43,DELLEAF,10,43
DELLEAF202303185,F,001202303185,B,2,DEL,8,44,DELLEAF,10,44
DELLEAF202303186,F,001202303186,B,2,DEL,8,45,DELLEAF,10,45
DELLEAF202303187,F,001202303187,B,2,DEL,8,46,DELLEAF,10,46
DELLEAF202303188,F,001202303188,B,2,DEL,8,47,DELLEAF,10,47
DELLEAF202303189,F,001202303189,B,2,DEL,8,48,DELLEAF,10,48
DELLEAF202303191,F,001202303191,B,2,DEL,8,49,DELLEAF,10,49
DELLEAF202303192,F,001202303192,B,2,DEL,8,50,DELLEAF,10,50
DELLEAF202303207,F,001202303207,B,2,DEL,8,51,DELLEAF,10,51
DELLEAF202303210,F,001202303210,B,2,DEL,8,52,DELLEAF,10,52
DELLEAF202303211,F,001202303211,B,2,DEL,8,53,DELLEAF,10,53
DELLEAF202303212,F,001202303212,B,2,DEL,8,54,DELLEAF,10,54
DELLEAF202303213,F,001202303213,B,2,DEL,8,55,DELLEAF,10,55
DELLEAF202303214,F,001202303214,B,2,DEL,8,56,DELLEAF,10,56
DELLEAF202303215,F,001202303215,B,2,DEL,8,57,DELLEAF,10,57
DELLEAF202303216,F,001202303216,B,2,DEL,8,58,DELLEAF,10,58
DELLEAF202303219,F,001202303219,B,2,DEL,8,59,DELLEAF,10,59
DELLEAF202303220,F,001202303220,B,2,DEL,8,60,DELLEAF,10,60
DELLEAF202303221,F,001202303221,B,2,DEL,8,61,DELLEAF,10,61
DELLEAF202303222,F,001202303222,B,2,DEL,8,62,DELLEAF,10,62
DELLEAF202303232,F,001202303232,B,2,DEL,8,63,DELLEAF,10,63
DELLEAF202303233,F,001202303233,B,2,DEL,8,64,DELLEAF,10,64
DELLEAF202303234,F,001202303234,B,2,DEL,8,65,DELLEAF,10,65
DELLEAF202303264,F,001202303264,B,2,DEL,8,66,DELLEAF,10,66
DELLEAF202303265,F,001202303265,B,2,DEL,8,67,DELLEAF,10,67
DELLEAF202303267,F,001202303267,B,2,DEL,8,68,DELLEAF,10,68
DELLEAF202303268,F,001202303268,B,2,DEL,8,69,DELLEAF,10,69
DELLEAF202303269,F,001202303269,B,2,DEL,8,70,DELLEAF,10,70
DELLEAF202303270,F,001202303270,B,2,DEL,8,71,DELLEAF,10,71
DELLEAF202303271,F,001202303271,B,2,DEL,8,72,DELLEAF,10,72
DELLEAF202303272,F,001202303272,B,2,DEL,8,73,DELLEAF,10,73
DELLEAF202303273,F,001202303273,B,2,DEL,8,74,DELLEAF,10,74
DELLEAF202303002,F,001202303002,B,2,DEL,9,0,DELLEAF,11,0
DELLEAF202303003,F,001202303003,B,2,DEL,9,1,DELLEAF,11,1
DELLEAF202303005,F,001202303005,B,2,DEL,9,2,DELLEAF,11,2
DELLEAF202303006,F,001202303006,B,2,DEL,9,3,DELLEAF,11,3
DELLEAF202303007,F,001202303007,B,2,DEL,9,4,DELLEAF,11,4
DELLEAF202303008,F,001202303008,B,2,DEL,9,5,DELLEAF,11,5
DELLEAF202303009,F,001202303009,B,2,DEL,9,6,DELLEAF,11,6
DELLEAF202303010,F,001202303010,B,2,DEL,9,7,DELLEAF,11,7
DELLEAF202303011,F,001202303011,B,2,DEL,9,8,DELLEAF,11,8
DELLEAF202303012,F,001202303012,B,2,DEL,9,9,DELLEAF,11,9
DELLEAF202303014,F,001202303014,B,2,DEL,9,10,DELLEAF,11,10
DELLEAF202303016,F,001202303016,B,2,DEL,9,11,DELLEAF,11,11
DELLEAF202303018,F,001202303018,B,2,DEL,9,12,DELLEAF,11,12
DELLEAF202303020,F,001202303020,B,2,DEL,9,13,DELLEAF,11,13
DELLEAF202303022,F,001202303022,B,2,DEL,9,14,DELLEAF,11,14
DELLEAF202303025,F,001202303025,B,2,DEL,9,15,DELLEAF,11,15
DELLEAF202303027,F,001202303027,B,2,DEL,9,16,DELLEAF,11,16
DELLEAF202303030,F,001202303030,B,2,DEL,9,17,DELLEAF,11,17
DELLEAF202303032,F,001202303032,B,2,DEL,9,18,DELLEAF,11,18
DELLEAF202303034,F,001202303034,B,2,DEL,9,19,DELLEAF,11,19
DELLEAF202303037,F,001202303037,B,2,DEL,9,20,DELLEAF,11,20
DELLEAF202303040,F,001202303040,B,2,DEL,9,21,DELLEAF,11,21
DELLEAF202303043,F,001202303043,B,2,DEL,9,22,DELLEAF,11,22
DELLEAF202303046,F,001202303046,B,2,DEL,9,23,DELLEAF,11,23
DELLEAF202303050,F,001202303050,B,2,DEL,9,24,DELLEAF,11,24
DELLEAF202303053,F,001202303053,B,2,DEL,9,25,DELLEAF,11,25
DELLEAF202303056,F,001202303056,B,2,DEL,9,26,DELLEAF,11,26
DELLEAF202303058,F,001202303058,B,2,DEL,9,27,DELLEAF,11,27
DELLEAF202303062,F,001202303062,B,2,DEL,9,28,DELLEAF,11,28
DELLEAF202303069,F,001202303069,B,2,DEL,9,29,DELLEAF,11,29
DELLEAF202303071,F,001202303071,B,2,DEL,9,30,DELLEAF,11,30
DELLEAF202303073,F,001202303073,B,2,DEL,9,31,DELLEAF,11,31
DELLEAF202303075,F,001202303075,B,2,DEL,9,32,DELLEAF,11,32
DELLEAF202303078,F,001202303078,B,2,DEL,9,33,DELLEAF,11,33
DELLEAF202303080,F,001202303080,B,2,DEL,9,34,DELLEAF,11,34
DELLEAF202303082,F,001202303082,B,2,DEL,9,35,DELLEAF,11,35
DELLEAF202303083,F,001202303083,B,2,DEL,9,36,DELLEAF,11,36
DELLEAF202303088,F,001202303088,B,2,DEL,9,37,DELLEAF,11,37
DELLEAF202303091,F,001202303091,B,2,DEL,9,38,DELLEAF,11,38
DELLEAF202303093,F,001202303093,B,2,DEL,9,39,DELLEAF,11,39
DELLEAF202303096,F,001202303096,B,2,DEL,9,40,DELLEAF,11,40
DELLEAF202303098,F,001202303098,B,2,DEL,9,41,DELLEAF,11,41
DELLEAF202303106,F,001202303106,B,2,DEL,9,42,DELLEAF,11,42
DELLEAF202303111,F,001202303111,B,2,DEL,9,43,DELLEAF,11,43
DELLEAF202303113,F,001202303113,B,2,DEL,9,44,DELLEAF,11,44
DELLEAF202303118,F,001202303118,B,2,DEL,9,45,DELLEAF,11,45
DELLEAF202303120,F,001202303120,B,2,DEL,9,46,DELLEAF,11,46
DELLEAF202303122,F,001202303122,B,2,DEL,9,47,DELLEAF,11,47
DELLEAF202303124,F,001202303124,B,2,DEL,9,48,DELLEAF,11,48
DELLEAF202303126,F,001202303126,B,2,DEL,9,49,DELLEAF,11,49
DELLEAF202303128,F,001202303128,B,2,DEL,9,50,DELLEAF,11,50
DELLEAF202303131,F,001202303131,B,2,DEL,9,51,DELLEAF,11,51
DELLEAF202303133,F,001202303133,B,2,DEL,9,52,DELLEAF,11,52
DELLEAF202303147,F,001202303147,B,2,DEL,9,53,DELLEAF,11,53
DELLEAF202303149,F,001202303149,B,2,DEL,9,54,DELLEAF,11,54
DELLEAF202303151,F,001202303151,B,2,DEL,9,55,DELLEAF,11,55
DELLEAF202303153,F,001202303153,B,2,DEL,9,56,DELLEAF,11,56
DELLEAF202303158,F,001202303158,B,2,DEL,9,57,DELLEAF,11,57
DELLEAF202303160,F,001202303160,B,2,DEL,9,58,DELLEAF,11,58
DELLEAF202303162,F,001202303162,B,2,DEL,9,59,DELLEAF,11,59
DELLEAF202303170,F,001202303170,B,2,DEL,9,60,DELLEAF,11,60
DELLEAF202303172,F,001202303172,B,2,DEL,9,61,DELLEAF,11,61
DELLEAF202303174,F,001202303174,B,2,DEL,9,62,DELLEAF,11,62
DELLEAF202303178,F,001202303178,B,2,DEL,9,63,DELLEAF,11,63
DELLEAF202303180,F,001202303180,B,2,DEL,9,64,DELLEAF,11,64
DELLEAF202303195,F,001202303195,B,2,DEL,9,65,DELLEAF,11,65
DELLEAF202303197,F,001202303197,B,2,DEL,9,66,DELLEAF,11,66
DELLEAF202303199,F,001202303199,B,2,DEL,9,67,DELLEAF,11,67
DELLEAF202303201,F,001202303201,B,2,DEL,9,68,DELLEAF,11,68
DELLEAF202303203,F,001202303203,B,2,DEL,9,69,DELLEAF,11,69
DELLEAF202303204,F,001202303204,B,2,DEL,9,70,DELLEAF,11,70
DELLEAF202303206,F,001202303206,B,2,DEL,9,71,DELLEAF,11,71
DELLEAF202303208,F,001202303208,B,2,DEL,9,72,DELLEAF,11,72
DELLEAF202303217,F,001202303217,B,2,DEL,9,73,DELLEAF,11,73
DELLEAF202303225,F,001202303225,B,2,DEL,9,74,DELLEAF,11,74
DELLEAF202303227,F,001202303227,B,2,DEL,9,75,DELLEAF,11,75
DELLEAF202303237,F,001202303237,B,2,DEL,9,76,DELLEAF,11,76
DELLEAF202303243,F,001202303243,B,2,DEL,9,77,DELLEAF,11,77
DELLEAF202303246,F,001202303246,B,2,DEL,9,78,DELLEAF,11,78
DELLEAF202303248,F,001202303248,B,2,DEL,9,79,DELLEAF,11,79
DELLEAF202303250,F,001202303250,B,2,DEL,9,80,DELLEAF,11,80
DELLEAF202303252,F,001202303252,B,2,DEL,9,81,DELLEAF,11,81
DELLEAF202303254,F,001202303254,B,2,DEL,9,82,DELLEAF,11,82
DELLEAF202303256,F,001202303256,B,2,DEL,9,83,DELLEAF,11,83
DELLEAF202303258,F,001202303258,B,2,DEL,9,84,DELLEAF,11,84
DELLEAF202303260,F,001202303260,B,2,DEL,9,85,DELLEAF,11,85
DELLEAF202303262,F,001202303262,B,2,DEL,9,86,DELLEAF,11,86
DELLEAF202303274,F,001202303274,B,2,DEL,9,87,DELLEAF,11,87
DELLEAF202303278,F,001202303278,B,2,DEL,9,88,DELLEAF,11,88
DELLEAF202303280,F,001202303280,B,2,DEL,9,89,DELLEAF,11,89
DELLEAF202303283,F,001202303283,B,2,DEL,9,90,DELLEAF,11,90
DELLEAF202303287,F,001202303287,B,2,DEL,9,91,DELLEAF,11,91
DELLEAF202303288,F,001202303288,B,2,DEL,9,92,DELLEAF,11,92
DELLEAF202303087,F,001202303087,B,2,DEL,10,0,DELLEAF,12,0
DELLEAF202303090,F,001202303090,B,2,DEL,10,1,DELLEAF,12,1
DELLEAF202303135,F,001202303135,B,2,DEL,10,2,DELLEAF,12,2
DELLEAF202303155,F,001202303155,B,2,DEL,10,3,DELLEAF,12,3
DELLEAF202303181,F,001202303181,B,2,DEL,10,4,DELLEAF,12,4
DELLEAF202303239,F,001202303239,B,2,DEL,10,5,DELLEAF,12,5
DELLEAF202303257,F,001202303257,B,2,DEL,10,6,DELLEAF,12,6
DELLEAF202303285,F,001202303285,B,2,DEL,10,7,DELLEAF,12,7
DELLEAF202303001,F,001202303001,B,2,DEL,11,0,DELLEAF,13,0
DELLEAF202303013,F,001202303013,B,2,DEL,11,1,DELLEAF,13,1
DELLEAF202303024,F,001202303024,B,2,DEL,11,2,DELLEAF,13,2
DELLEAF202303041,F,001202303041,B,2,DEL,11,3,DELLEAF,13,3
DELLEAF202303070,F,001202303070,B,2,DEL,11,4,DELLEAF,13,4
DELLEAF202303086,F,001202303086,B,2,DEL,11,5,DELLEAF,13,5
DELLEAF202303095,F,001202303095,B,2,DEL,11,6,DELLEAF,13,6
DELLEAF202303101,F,001202303101,B,2,DEL,11,7,DELLEAF,13,7
DELLEAF202303173,F,001202303173,B,2,DEL,11,8,DELLEAF,13,8
DELLEAF202303193,F,001202303193,B,2,DEL,11,9,DELLEAF,13,9
DELLEAF202303209,F,001202303209,B,2,DEL,11,10,DELLEAF,13,10
DELLEAF202303229,F,001202303229,B,2,DEL,11,11,DELLEAF,13,11
DELLEAF202303230,F,001202303230,B,2,DEL,11,12,DELLEAF,13,12
DELLEAF202303235,F,001202303235,B,2,DEL,11,13,DELLEAF,13,13
DELLEAF202303241,F,001202303241,B,2,DEL,11,14,DELLEAF,13,14
